index_number,game_name,platform,console,release_year,rating,genre,publisher,developer,na_sales,eu_sales,jp_sales,other_sales,global_sales,critic_score,critic_count,user_score,user_count
7023,Virtua Fighter Kids,SAT,SAT,1995,,Fighting,Sega,,0,0,0.23,0,0.23,\N,\N,\N,\N
7035,Yu-Gi-Oh! GX: Duel Academy,GBA,GBA,2005,,Misc,Konami Digital Entertainment,,0.17,0.06,0,0,0.23,\N,\N,\N,\N
7043,I Love Horses,DS,DS,2008,E,Simulation,GSP,Destineer,0.21,0,0,0.01,0.23,\N,\N,\N,\N
7060,Neopets Puzzle Adventure,Wii,Wii,2008,E,Puzzle,Capcom,Infinite Interactive,0.19,0.02,0,0.02,0.23,52,11,\N,\N
7060,Neopets Puzzle Adventure,Wii,Wii,2008,E,Puzzle,Capcom,Infinite Interactive,0.19,0.02,0,0.02,0.23,70,12,\N,\N
7067,Tetris 2 (weekly jp sales),GB,GB,1992,,Puzzle,Nintendo,,0,0,0.23,0,0.23,\N,\N,\N,\N
7077,Critical Depth,PS,PS,1997,,Action,GT Interactive,,0.13,0.09,0,0.01,0.23,\N,\N,\N,\N
7097,Rampage 2: Universal Tour,PS,PS,1998,,Action,GT Interactive,,0.13,0.09,0,0.01,0.23,\N,\N,\N,\N
7097,Rampage 2: Universal Tour,PS,PS,1998,,Action,GT Interactive,,0.13,0.09,0,0.01,0.23,\N,\N,\N,\N
7118,Buzz! Junior: RoboJam,PS2,PS2,2007,,Misc,Sony Computer Entertainment,,0.11,0.09,0,0.03,0.23,\N,\N,\N,\N
7132,3rd Super Robot Wars Z Jigoku Hen,PS3,PS3,2014,,Role-Playing,Namco Bandai Games,,0,0,0.23,0,0.23,\N,\N,\N,\N
7132,3rd Super Robot Wars Z Jigoku Hen,PS3,PS3,2014,,Role-Playing,Namco Bandai Games,,0,0,0.23,0,0.23,\N,\N,\N,\N
7144,Spartan: Total Warrior,PS2,PS2,2005,M,Action,Sega,Creative Assembly,0.11,0.09,0,0.03,0.22,73,24,8.3,15
7144,Spartan: Total Warrior,PS2,PS2,2005,M,Action,Sega,Creative Assembly,0.11,0.09,0,0.03,0.22,73,36,8.8,12
7144,Spartan: Total Warrior,PS2,PS2,2005,M,Action,Sega,Creative Assembly,0.11,0.09,0,0.03,0.22,74,33,8.4,65
7167,Skies of Arcadia Legends,GC,GC,2002,T,Role-Playing,Atari,Overworks,0.17,0.04,0,0.01,0.22,84,31,9.2,95
7177,Danny Phantom: The Ultimate Enemy,GBA,GBA,2005,E,Action,THQ,Altron,0.16,0.06,0,0,0.22,\N,\N,8.8,4
7194,Dino Stalker,PS2,PS2,2002,M,Shooter,Capcom,Capcom,0.07,0.06,0.08,0.02,0.22,50,18,6.3,8
7197,Shinobi,3DS,3DS,2011,T,Platform,Sega,Griptonite Games,0.14,0.07,0,0.02,0.22,69,33,7.3,33
7201,LEGO The Lord of the Rings,PC,PC,2012,E10+,Action,Warner Bros. Interactive Entertainment,TT Games,0.07,0.13,0,0.03,0.22,\N,\N,\N,\N
7201,LEGO The Lord of the Rings,PC,PC,2012,E10+,Action,Warner Bros. Interactive Entertainment,TT Games,0.07,0.13,0,0.03,0.22,80,6,8.2,127
