Number of blanks,Name,Platform,Console,Year_of_Release,Genre,Publisher,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
0,MotorStorm RC,PSV,PSV,2012,Racing,Sony Computer Entertainment,78,39,6.8,123,Evolution Studios,E
0,"Hisshou Pachinko*Pachi-Slot Kouryaku Series Vol. 11: Shinseiki Evangelion - Magokoro o, Kimi ni",PS2,PS2,2007,Misc,D3Publisher,,,,,,
0,TOCA Race Driver 2: Ultimate Racing Simulator,PS2,PS2,2004,Racing,Codemasters,,,,,,
0,Dr. Muto,XB,XB,2002,Platform,Midway Games,70,13,,,Midway,T
0,Harry Potter and the Sorcerer's Stone,PC,PC,2001,Action,Electronic Arts,65,11,7.8,76,KnowWonder,E
0,Girls RPG: Cinderellife,3DS,3DS,2012,Role-Playing,Level 5,,,,,,
0,Tom Clancy's Rainbow Six: Critical Hour,XB,XB,,Shooter,Unknown,54,10,3.6,14,Ubisoft Quebec,M
0,Scrabble Blast!,GBA,GBA,2005,Misc,Zoo Digital Publishing,,,,,,
0,Scurge: Hive,DS,DS,2006,Action,SouthPeak Games,70,29,8.6,5,"Orbital Media, Inc.",E10+
0,Fate/Stay Night [Réalta Nua],PSV,PSV,2012,Adventure,Kadokawa Shoten,,,,,,
0,Remember Me,PC,PC,2013,Action,Capcom,65,26,7.4,1007,DONTNOD Entertainment,M
0,Gintama no Sugoroku,PSP,PSP,2013,Action,Namco Bandai Games,,,,,,
0,The Lord of the Rings: Aragorn's Quest,PS2,PS2,2010,Action,Warner Bros. Interactive Entertainment,,,,,TT Fusion,E10+
0,Doraemon 4: Nobita to Toki no Okoku,SNES,SNES,1995,Platform,Epoch,,,,,,
0,Myst,SAT,SAT,1994,Adventure,Sunsoft,,,,,,
0,Miracle Girls Festival,PSV,PSV,2015,Misc,Sega,,,,,,
0,Toaru Kagaku no Chou Denjihou,PSP,PSP,2011,Adventure,Kadokawa Shoten,,,,,,
0,Starwinder: The Ultimate Space Race,PS,PS,1996,Racing,Mindscape,,,,,,
0,Challenge Me: Brain Puzzles 2,Wii,Wii,2010,Puzzle,O-Games,,,,,O-Games,E
0,Angelique Trois,PS2,PS2,2000,Adventure,Tecmo Koei,,,,,,
0,Zendoku,DS,DS,2007,Puzzle,Eidos Interactive,68,13,,,Zoonami Ltd.,E
0,Dance Dance Revolution: Mario Mix (JP sales),GC,GC,2005,Simulation,Nintendo,,,,,,
0,Winx Club: Mission Enchantix,DS,DS,2008,Adventure,Konami Digital Entertainment,,,,,Powerhead Games,E
0,FIFA Soccer 06,DS,DS,2005,Sports,Electronic Arts,,,,,,
0,A-Train 6,PS2,PS2,2000,Strategy,Midas Interactive Entertainment,,,,,,
0,Meitantei Conan: Tantei Ryoku Trainer,DS,DS,2007,Misc,Namco Bandai Games,,,,,,
0,MotoGP,GBA,GBA,2002,Racing,THQ,67,11,,,Visual Impact,E
0,Dino Pets,DS,DS,2009,Simulation,Avanquest,,,,,Destineer,E
0,ESPN International Winter Sports 2002,PS2,PS2,2002,Sports,Konami Digital Entertainment,62,13,,,Konami,E
0,"Tennis no Oji-Sama: Doubles no Oji-Sama - Girls, Be Gracious!",DS,DS,2009,Sports,Konami Digital Entertainment,,,,,,
0,KimiKiss (ebKore+),PS2,PS2,2008,Adventure,Enterbrain,,,,,,
0,Champion Jockey: G1 Jockey & Gallop Racer,X360,X360,2011,Sports,Tecmo Koei,,,,,,
0,Gold and Glory: The Road to El Dorado,PS,PS,2000,Adventure,Ubisoft,34,4,,,Revolution Software,E
0,Choro Q Marine: Q Boat,PS,PS,1998,Racing,Takara,,,,,,
0,NBA Live 07,XB,XB,2006,Sports,Electronic Arts,69,14,6.8,13,EA Sports,E
0,Caligula,PSV,PSV,2016,Role-Playing,FuRyu,,,,,Aquria,
0,BattleBots: Beyond the BattleBox,GBA,GBA,2002,Action,Vivendi Games,53,7,,,Cave Barn,E
0,Yuugen Gaisha Brave Company,3DS,3DS,2011,Strategy,Namco Bandai Games,,,,,,
0,Diva Girls: Divas on Ice,DS,DS,2009,Sports,505 Games,,,,,Arc System Works,E
0,Handball 16,PS4,PS4,2015,Sports,Bigben Interactive,,,3.0,4,EKO Software,E
0,Ken to Mahou to Gakuen Mono. 3D,3DS,3DS,2011,Role-Playing,Acquire,,,,,,
0,Mighty Beanz: Pocket Puzzles,GBA,GBA,2004,Puzzle,Majesco Entertainment,37,6,,,Radius9,E
0,Dreamer Series: Babysitter,DS,DS,2009,Simulation,Deep Silver,,,,,Zig Zag,E
0,Samurai Warriors 4: Empires,PSV,PSV,2015,Action,Tecmo Koei,,,,,Omega Force,T
0,Ride to Hell,X360,X360,2013,Racing,Deep Silver,19,14,1.3,433,"Eutechnyx, Deep Silver",M
0,The King of Fighters '96,NG,NG,1996,Fighting,SNK,,,,,,
0,Nobunaga no Yabou: Souzou,PS4,PS4,2014,Strategy,Tecmo Koei,,,,,,
0,Friends: The One with All the Trivia,PS2,PS2,2005,Misc,Warner Bros. Interactive Entertainment,50,6,,,Artech Studios,T
0,Mame Goma 2: Uchi no Ko ga Ichiban!,DS,DS,2008,Simulation,Creative Core,,,,,,
0,Backyard NFL Football '08,PS2,PS2,2007,Sports,Atari,,,,,,
0,The Saboteur,PC,PC,2009,Action,Electronic Arts,76,20,8.0,236,Pandemic Studios,M
0,Gunbird,SAT,SAT,1995,Shooter,Atlus,,,,,,
0,Dream C Club Portable,PSP,PSP,2010,Simulation,D3Publisher,,,,,,
0,Hail to the Chimp,X360,X360,2008,Misc,Gamecock,52,23,6.1,7,Wideload Games Inc.,T
0,Tom Clancy's Rainbow Six 3,GC,GC,2004,Shooter,Ubisoft,68,25,8.2,5,Ubisoft Shanghai,M
0,Elemental Gearbolt,PS,PS,1997,Shooter,Sony Computer Entertainment,76,11,,,Alfa System,T
0,Rocket League,PC,PC,2016,Sports,505 Games,86,20,8.2,580,Psyonix,E
0,Warriors: Legends of Troy,X360,X360,2011,Action,Tecmo Koei,,,,,,
0,Nobunaga's Ambition: Sphere of Influence - Sengoku Risshiden,PS4,PS4,2016,Misc,Tecmo Koei,,,,,,
0,WWF Wrestlemania: The Arcade Game,PS,PS,1995,Fighting,Acclaim Entertainment,,,,,,
0,Dungeon Explorer: Warriors of Ancient Arts,DS,DS,2007,Role-Playing,Rising Star Games,60,10,,,Amble,E10+
0,Cabela's Big Game Hunter 2005 Adventures,GBA,GBA,2004,Sports,Activision,,,,,,
0,Mega Man 8 Anniversary Collector's Edition,SAT,SAT,1997,Platform,Capcom,,,,,,
0,Whiplash,XB,XB,2003,Racing,Eidos Interactive,68,28,,,Crystal Dynamics,T
0,V-Rally 3,PS2,PS2,2002,Racing,Atari,82,10,7.4,14,Eden Studios,E
0,Pro Yakyuu Famista 2011,3DS,3DS,2011,Sports,Namco Bandai Games,,,,,,
0,Impact Racing,PS,PS,1996,Racing,JVC,,,,,,
0,Mirror's Edge,PC,PC,2009,Platform,Electronic Arts,81,44,8.1,1026,EA DICE,T
0,Titan Quest,PC,PC,2006,Role-Playing,THQ,77,51,8.1,387,Iron Lore Entertainment,T
0,Amazing Island,GC,GC,2004,Strategy,Sega,59,22,6.6,7,Hitmaker,E
0,Space Chimps,DS,DS,2008,Platform,Brash Entertainment,59,5,,,"Red Tribe, Brash Entertainment",E
0,SeaBlade,XB,XB,2002,Shooter,TDK Mediactive,48,11,,,Simon & Schuster,T
0,Jikkyou Powerful Pro Yakyuu DreamCast Edition,DC,DC,2000,Sports,Konami Digital Entertainment,,,,,,
0,Carmen Sandiego: The Secret of the Stolen Drums,PS2,PS2,2004,Action,BAM! Entertainment,53,8,,,Artificial Mind and Movement,E
0,Izuna 2: The Unemployed Ninja Returns,DS,DS,2007,Role-Playing,Success,65,18,7.9,13,Ninja Studio,T
0,Tokyo Mono Harashi: Karasu no Mori Gakuen Kitan,PSP,PSP,2010,Role-Playing,Atlus,,,,,,
0,Saki: Zenkoku-hen,PSV,PSV,2015,Misc,Kaga Create,,,,,,
0,Point Blank DS (US sales),DS,DS,2006,Shooter,Atari,,,,,,
0,Ski Region Simulator,PC,PC,2011,Simulation,Excalibur Publishing,,,,,Giants Software,
0,MotoGP 4 - Official Game of MotoGP,PS2,PS2,2005,Racing,Sony Computer Entertainment,,,,,,
0,Gothic 3,PC,PC,2006,Role-Playing,JoWood Productions,63,39,7.3,519,Piranha Bytes,T
0,Roogoo Twisted Towers,Wii,Wii,2009,Puzzle,SouthPeak Games,,,,,,
0,Kyoukai Senjou no Horizon Portable,PSP,PSP,2013,Adventure,Kadokawa Shoten,,,,,,
0,Shining Force III: Scenario 2,SAT,SAT,1998,Strategy,Sega,,,,,,
0,History Great Empires: Rome,DS,DS,2009,Strategy,Black Bean Games,42,5,,,Slitherine,E10+
0,7 Days to Die,XOne,XOne,2016,Action,Telltale Games,35,17,5.2,74,The Fun Pimps Entertainment LLC,M
0,Chuck E. Cheese's Playhouse,DS,DS,2010,Misc,UFO Interactive,,,,,UFO Interactive,E
0,Worms World Party,GBA,GBA,2002,Strategy,Ubisoft,75,4,,,Fluid Studios,E
0,Medabots: Metabee,GBA,GBA,2002,Role-Playing,Natsume,,,,,,
0,Alvin and the Chipmunks,Wii,Wii,2007,Misc,Eidos Interactive,30,4,3.6,20,Sensory Sweep,E
0,Final Fight: Streetwise,PS2,PS2,2006,Action,Capcom,43,36,6.2,11,Capcom,M
0,Speed Kings,XB,XB,2003,Racing,Acclaim Entertainment,60,16,8.8,4,Climax Group,E
0,Rebelstar: Tactical Command,GBA,GBA,2005,Strategy,Atari,78,29,9.1,10,Codo Games,E10+
0,F1 2010,PC,PC,2010,Racing,Codemasters,84,15,6.6,99,Codemasters Birmingham,E
0,Gladiator: Sword of Vengeance,XB,XB,2003,Action,Acclaim Entertainment,65,25,7.1,7,Acclaim Studios Manchester,M
0,Minna to Kimi no Piramekino!,DS,DS,2010,Misc,Namco Bandai Games,,,,,,
0,Dungeon Keeper 2,PC,PC,1999,Action,Electronic Arts,,,8.8,100,Bullfrog Productions,M
0,Bombastic,PS2,PS2,2002,Puzzle,Capcom,72,24,7.2,6,Shift,E
0,NHL Powerplay 98,PS,PS,1997,Sports,Virgin Interactive,,,,,,
0,My Amusement Park,DS,DS,2010,Misc,Scholastic Inc.,,,,,"Scholastic, Inc.",E
0,Chocolatier,DS,DS,2010,Misc,Zoo Games,,,,,Zoo Games,E
0,Kid Fit Island Resort,Wii,Wii,2010,Sports,Avanquest,,,,,Red Wagon Games,E
0,Jewel Link Chronicles: Mountains of Madness,DS,DS,,Puzzle,Avanquest,,,,,Avanquest Software,E10+
0,Olympic Soccer: Atlanta 1996,PS,PS,1996,Sports,U.S. Gold,,,,,,
0,Samurai Dou Portable,PSP,PSP,2008,Action,Spike,,,,,,
0,Phantasy Star Online Episode I & II Plus,GC,GC,2003,Role-Playing,Sega,,,,,,
0,Coraline,Wii,Wii,2009,Action,D3Publisher,42,7,5.5,8,Papaya Studios,E10+
0,Major League Baseball 2K11,PSP,PSP,2011,Sports,Take-Two Interactive,,,,,Visual Concepts,E
0,Front Mission 2089: Border of Madness,DS,DS,2008,Strategy,Square Enix,,,,,,
0,Dual Hearts,PS2,PS2,2002,Role-Playing,Sony Computer Entertainment,70,17,,,Matrix Software,E
0,NFL Quarterback Club 2002,GC,GC,2001,Sports,Acclaim Entertainment,53,10,,,Acclaim,E
0,Xiaolin Showdown,DS,DS,2006,Action,Konami Digital Entertainment,58,7,,,Razorback Developments,E
0,Chaos;Child,PSV,PSV,2015,Adventure,5pb,,,,,,
0,Hearts of Iron IV,PC,PC,2016,Strategy,Paradox Interactive,83,36,6.9,306,Paradox Development Studio,
0,Wing Commander: Prophecy,GBA,GBA,2003,Simulation,"Destination Software, Inc",70,8,8.3,7,Raylight Studios,T
0,Drivers Ed Portable,DS,DS,2008,Misc,JoWood Productions,,,,,Trine Games,E
0,Marc Ecko's Getting Up: Contents Under Pressure,PS2,PS2,2006,Action,Atari,69,39,7.2,31,Double Helix Games,M
0,"Murder, She Wrote",PC,PC,2009,Adventure,Focus Home Interactive,,,,,Legacy Interactive,T
0,Captain America: Super Soldier,Wii,Wii,,Action,Sega,57,16,6.0,6,High Voltage Software,T
0,Sega Soccer Slam,XB,XB,2002,Sports,Sega,80,15,8.5,10,Black Box,E
0,Enemy Front,PS3,PS3,2014,Shooter,City Interactive,43,12,6.0,75,CI Games,M
0,Hakuouki: Reimeiroku,PS2,PS2,2010,Adventure,Idea Factory,,,,,,
0,Vertigo,Wii,Wii,2009,Strategy,Playlogic Game Factory,66,4,,,Icon Games,E
0,Blood Omen 2,GC,GC,2002,Action,Eidos Interactive,71,15,,,Crystal Dynamics,M
0,Unsolved Crimes,DS,DS,2008,Adventure,Empire Interactive,66,20,,,Now Production,T
0,Ghostbusters (2016),PS4,PS4,2016,Action,Activision,,,,,,
0,Shin Sangoku Musou 5 Empires,PSP,PSP,2010,Action,Tecmo Koei,,,,,,
0,Air Conflicts: Aces of World War II,PSP,PSP,2009,Simulation,Graffiti,36,12,,,Cowboy Rodeo,T
0,Carve,XB,XB,2004,Racing,Global Star,64,34,,,Argonaut Games,E
0,BlowOut,XB,XB,2003,Shooter,Zoo Digital Publishing,55,11,,,Terminal Reality,T
0,GunPey,PSP,PSP,2006,Puzzle,Atari,62,24,,,Q Entertainment,E10+
0,Front Mission Evolved,PC,PC,2010,Shooter,Square Enix,63,13,5.1,48,Double Helix Games,T
0,GachiTora! Abarenbou Kyoushi in High School,PSP,PSP,2011,Action,Spike,,,,,,
0,McDROID,PSP,PSP,2011,Strategy,Namco Bandai Games,,,,,,
0,Bottom of the 9th '99,PS,PS,1998,Sports,Konami Digital Entertainment,,,,,,
0,WTA Tour Tennis,PS2,PS2,2001,Sports,Konami Digital Entertainment,50,9,,,Konami,E
0,Dynasty Warriors 5,XB,XB,2005,Action,Tecmo Koei,66,22,8.0,4,Omega Force,T
0,Samurai Warriors 4-II,PSV,PSV,2015,Action,Tecmo Koei,,,,,Omega Force,T
0,Famicom Mini: Dig Dug,GBA,GBA,2004,Puzzle,Namco Bandai Games,,,,,,
0,FIFA Soccer 2003,GBA,GBA,2002,Sports,Electronic Arts,76,4,,,Exient Entertainment,E
0,Naval Ops: Commander,PS2,PS2,2004,Simulation,Tecmo Koei,65,12,,,Micro Cabin,T
0,The Lost Chronicles of Zerzura,PC,PC,2012,Adventure,DTP Entertainment,76,9,6.7,15,Cranberry Production,
0,Adventure Time: Finn & Jake Investigations,XOne,XOne,2015,Action,Little Orbit,,,,,,
0,4 Elements,PC,PC,2009,Puzzle,Mastertronic,,,7.4,19,Playrix Entertainment,E
0,Uta no Prince-Sama: Music 3,PSV,PSV,2016,Action,Broccoli,,,,,,
0,New Prince of Tennis: Go to the Top,3DS,3DS,2015,Action,FuRyu,,,,,,
0,Virtual Villagers: A New Home,DS,DS,2010,Simulation,PQube,,,,,LDW,E
0,Batman: A Telltale Game Series,PS3,PS3,2016,Adventure,Telltale Games,,,,,,
0,Defendin' De Penguin,Wii,Wii,2008,Strategy,Zushi Games,,,,,,
0,Murdered: Soul Suspect,PC,PC,2014,Action,Square Enix,59,22,7.4,379,Airtight Games,M
0,Activision Hits: Remixed,PSP,PSP,2006,Misc,Activision,75,10,,,Digital Eclipse,E
0,Bleach: Blade Battlers,PS2,PS2,2006,Fighting,Sony Computer Entertainment,,,,,,
0,Rez,PS2,PS2,2001,Shooter,Sony Computer Entertainment,78,34,8.3,28,UGA,E
0,MLB SlugFest 2006,XB,XB,2006,Sports,Midway Games,59,15,,,Blue Shift,E10+
0,Goosebumps: The Game,3DS,3DS,2015,Adventure,WayForward Technologies,,,,,WayForward,E10+
0,Neverland Card Battles,PSP,PSP,2008,Role-Playing,Idea Factory,57,14,7.8,12,Idea Factory,T
0,Lufia: The Ruins of Lore,GBA,GBA,2002,Role-Playing,Taito,76,12,8.3,8,Taito Corporation,E
0,UEFA Euro 2004: Portugal,XB,XB,2004,Sports,Electronic Arts,74,21,8.1,9,EA Canada,E
0,Airline Tycoon 2,PC,PC,2011,Simulation,Kalypso Media,57,4,5.5,30,Kalypso,E
0,Jissen Pachislot Hisshouhou! Hokuto no Ken DS SE,DS,DS,2006,Misc,Sega,,,,,,
0,Taito Legends Power Up,PSP,PSP,2007,Action,Destineer,41,9,,,Empire Oxford,E
0,Shaman King: Soul Fight,GC,GC,2003,Platform,Namco Bandai Games,,,,,,
0,Samurai Deeper Kyo,PS,PS,2002,Fighting,Namco Bandai Games,,,,,,
0,Petz Bunnyz Bunch,DS,DS,2011,Simulation,Ubisoft,,,,,Ubisoft,E
0,Project Setsuna,PSV,PSV,2016,Role-Playing,Square Enix,,,,,,
0,Medabots: Infinity,GC,GC,2003,Role-Playing,Ubisoft,51,6,8.0,7,Imagineer,E
0,MotoGP 15,PS3,PS3,2015,Racing,Milestone S.r.l.,,,,,Milestone S.r.l,E10+
0,Criminal Girls 2,PSV,PSV,2015,Role-Playing,Nippon Ichi Software,,,,,,
0,Omega Labyrinth,PSV,PSV,2015,Role-Playing,D3Publisher,,,,,,
0,Zapper: One Wicked Cricket!,XB,XB,2002,Platform,Infogrames,,,,,,
0,Jirou Akagawa: Majotachi no Nemuri,SNES,SNES,1995,Adventure,Pack-In-Video,,,,,,
0,PopStar Guitar,Wii,Wii,2008,Misc,Midway Games,,,,,Broadsword Interactive,T
0,Bust-A-Bloc,PS2,PS2,2002,Puzzle,Midas Interactive Entertainment,,,,,,
0,Pucca Power Up,DS,DS,2011,Platform,Rising Star Games,,,,,Rising Star Games,E
0,Sitting Ducks,PS2,PS2,2003,Platform,LSP Games,,,,,Asobo Studio,E
0,Puyo Puyo 7,Wii,Wii,2009,Puzzle,Sega,,,,,,
0,My Fitness Coach: Club,Wii,Wii,2011,Sports,Ubisoft,,,,,,
0,IL-2 Sturmovik: Cliffs of Dover,PC,PC,2011,Simulation,Ubisoft,60,13,7.1,114,1C: Maddox Games,T
0,Nobunaga's Ambition: Sphere of Influence,PSV,PSV,2014,Strategy,Tecmo Koei,,,,,,
0,NFL Blitz Pro,XB,XB,2003,Sports,Midway Games,71,14,6.6,8,Midway,E
0,Pretty Cure All Stars Everyone Gather ? Let's Dance!,Wii,Wii,2013,Misc,Namco Bandai Games,,,,,,
0,Mountain Bike Adrenaline,PS2,PS2,,Sports,Unknown,,,,,Fresh 3D,E
0,Zyuden Sentai Kyoryuger: Game de Gaburincho!!,3DS,3DS,2013,Action,Namco Bandai Games,,,,,,
0,Hi-Octane: The Track Fights Back!,PS,PS,1995,Racing,Electronic Arts,,,,,,
0,Black Sigil: Blade of the Exiled,DS,DS,2009,Role-Playing,Graffiti,58,24,7.5,20,Studio Archcraft,E
0,Death Jr. II: Root of Evil,PSP,PSP,2006,Platform,Konami Digital Entertainment,68,34,7.3,9,Backbone Entertainment,T
0,Wakeboarding Unleashed Featuring Shaun Murray,XB,XB,2003,Sports,Activision,80,23,8.8,9,Shaba Games,E
0,Mighty No. 9,PS4,PS4,2016,Platform,Deep Silver,52,64,3.5,282,Inti Creates,E10+
0,Touch 'N' Play Collection,DS,DS,2010,Misc,O-Games,,,,,O-Games,E
0,Doraemon 2: Nobita no Toizurando Daibouken,SNES,SNES,1993,Role-Playing,Epoch,,,,,,
0,Samurai Champloo: Sidetracked,PS2,PS2,2006,Action,Namco Bandai Games,66,26,7.2,6,Grasshopper Manufacture,T
0,Dead or Alive Xtreme 3: Fortune,PS4,PS4,2016,Sports,Tecmo Koei,43,9,7.8,110,Team Ninja,
0,Drill Dozer,GBA,GBA,,Platform,Unknown,81,34,8.3,10,Game Freak,E
0,Katekyoo Hitman Reborn! DS: Shinuki Max! Vongola Carnival!!,DS,DS,2007,Action,Takara Tomy,,,,,,
0,Metal Fight Beyblade: Bakugami Susanoh Shuurai!,DS,DS,2010,Action,Hudson Soft,,,,,,
0,Fatal Fury: Wild Ambition,PS,PS,1999,Fighting,SNK Playmore,,,,,,
0,Mister Slime,DS,DS,2008,Action,SouthPeak Games,59,12,,,Lexis Numerique,E
0,Winning Post 8 ,PS3,PS3,2014,Racing,Tecmo Koei,,,,,,
0,Learn Science,DS,DS,2010,Misc,DreamCatcher Interactive,,,,,Dreamcatcher,E
0,Medal of Honor: Airborne,PC,PC,2007,Shooter,Electronic Arts,78,38,7.3,204,Electronic Arts,T
0,Dengeki Gakuen RPG: Cross of Venus,DS,DS,2009,Role-Playing,ASCII Media Works,,,,,,
0,Judge Dredd,PS,PS,1997,Platform,Gremlin Interactive Ltd,,,,,,
0,Minna no Ennichi,3DS,3DS,2012,Action,Namco Bandai Games,,,,,,
0,Domino Rally,Wii,Wii,2007,Action,Nordcurrent,57,4,,,RED Entertainment,E
0,King Arthur,XB,XB,2004,Action,Konami Digital Entertainment,61,15,,,Krome Studios,T
0,Bass Rise,PS,PS,1999,Sports,Namco Bandai Games,,,,,,
0,Dynamite Headdy,GEN,GEN,1993,Platform,Sega,,,,,,
0,Choujikuu Yousai Macross: Do You Remember Love,PS3,PS3,2012,Shooter,Namco Bandai Games,,,,,,
0,Arcania: Gothic 4,PS4,PS4,2015,Role-Playing,Nordic Games,,,,,,
0,Match 3 Madness,DS,DS,2010,Puzzle,Foreign Media Games,,,,,Most Wanted Entertainment,E
0,Countdown: The Game,Wii,Wii,2009,Puzzle,Mindscape,,,,,,
0,Rockin' Pretty,DS,DS,2009,Misc,Arc System Works,,,,,Arc System Works,E
0,Men of War: Assault Squad,PC,PC,2011,Strategy,1C Company,77,21,8.2,93,"THQ, 1C, 1C Company",T
0,Persona 2: Eternal Punishment,PSP,PSP,2012,Role-Playing,Atlus,,,,,,
0,Dragon's Lair 3D: Return to the Lair,XB,XB,2002,Platform,Ubisoft,,,,,,
0,Rhapsody: A Musical Adventure,DS,DS,2008,Role-Playing,Nippon Ichi Software,67,24,6.8,12,Nippon Ichi Software,E
0,Growlanser: Heritage of War (jp sales),PS2,PS2,2006,Role-Playing,Rising Star Games,,,,,,
0,Myst IV: Revelation,XB,XB,2005,Adventure,Ubisoft,75,17,,,Ubisoft Montreal,T
0,Sled Shred featuring the Jamaican Bobsled Team,Wii,Wii,2010,Sports,SouthPeak Games,,,,,Just For Fun,E
0,Pachinko Wars II,SNES,SNES,1993,Misc,Coconuts Japan,,,,,,
0,Jake Power: Policeman,DS,DS,2008,Adventure,Ubisoft,,,,,Ubisoft,E
0,The Nightmare of Druaga: Fushigino Dungeon,PS2,PS2,2004,Role-Playing,Arika,,,,,,
0,Dead Island Definitive Collection,XOne,XOne,2016,Action,Deep Silver,67,10,4.9,18,Techland,M
0,PAC-MAN and the Ghostly Adventures,WiiU,WiiU,2013,Platform,Namco Bandai Games,58,9,6.5,16,"Namco Bandai Games, Monkey Bar Games",E10+
0,Animal Planet: Vet Collection,DS,DS,2010,Simulation,Activision,,,,,Activision,E
0,Lernerfolg Vorschule: Capt'n Sharky,DS,DS,2009,Misc,Tivola,,,,,,
0,Virtua Striker 2002,GC,GC,2002,Sports,Sega,58,20,6.0,5,Amusement Vision,E
0,WRC 5: FIA World Rally Championship,PS4,PS4,2015,Sports,Bigben Interactive,,,,,,
0,UEFA Champions League 2006-2007,X360,X360,2007,Sports,Electronic Arts,72,27,8.2,10,EA Canada,E
0,Fate/Unlimited Codes Portable,PSP,PSP,2009,Fighting,Capcom,,,,,,
0,Centipede: Infestation,Wii,Wii,2011,Shooter,Atari,,,,,WayForward,E10+
0,F1 2015,PC,PC,2015,Racing,Codemasters,61,13,3.6,63,Codemasters,E
0,Game no Kanzume Vol 2,SCD,SCD,1994,Misc,Sega,,,,,,
0,Luminous Arc Infinity,PSV,PSV,2015,Action,Marvel Entertainment,,,,,,
0,Disney's PK: Out of the Shadows,GC,GC,2002,Platform,Ubisoft,46,10,,,Ubisoft,E
0,Aliens in the Attic,DS,DS,2009,Action,Playlogic Game Factory,58,7,6.0,5,Engine Software,E10+
0,JoJo no Kimy? na B?ken Fantomu Buraddo,PS2,PS2,2006,Action,Namco Bandai Games,,,,,,
0,The Idolmaster 2,X360,X360,2011,Simulation,Namco Bandai Games,,,,,,
0,Hunted: The Demon's Forge,PC,PC,2011,Action,Bethesda Softworks,61,21,6.6,127,InXile Entertainment,M
0,Powerdrome,PS2,PS2,2004,Racing,Evolved Games,54,4,,,Argonaut Games,T
0,Dreamer Series: Puppy Trainer,DS,DS,2008,Simulation,DreamCatcher Interactive,,,,,Dreamcatcher,E
0,SingStar Mallorca Party,PS3,PS3,2009,Misc,Sony Computer Entertainment,,,,,,
0,Pro Yakyuu Spirits 5 Kanzenban,PS2,PS2,2008,Sports,Konami Digital Entertainment,,,,,,
0,Shin Sangoku Musou 5 Special,PSP,PSP,2009,Action,Tecmo Koei,,,,,,
0,Major Minor's Majestic March,Wii,Wii,2009,Misc,Majesco Entertainment,46,16,,,NanaOn-Sha,E
0,Pony Friends: Mini Breeds Edition,DS,DS,2008,Simulation,Eidos Interactive,,,,,"Eidos Interactive, Tantalus Interactive",E
0,Otogi 2: Immortal Warriors,XB,XB,2003,Action,Sega,79,43,8.3,12,From Software,T
0,Legend of Kay,PS2,PS2,2005,Action,JoWood Productions,72,30,7.3,18,Neon Studios,E10+
0,Walt Disney Pictures Presents Enchanted,DS,DS,2007,Platform,Disney Interactive Studios,,,,,,
0,Lucha Libre AAA: Heroes del Ring,X360,X360,2010,Fighting,Konami Digital Entertainment,49,11,6.3,12,Immersion Software & Graphics,T
0,Piglet's Big Game,GC,GC,2003,Platform,Gotham Games,70,4,8.0,5,Doki Denki,E
0,Tom Clancy's HAWX 2,PC,PC,2010,Action,Ubisoft,66,12,3.8,47,Ubisoft,T
0,Myth Makers: Orbs of Doom,Wii,Wii,2007,Puzzle,Popcorn Arcade,,,1.1,8,Data Design Interactive,E
0,Fallout: Brotherhood of Steel,XB,XB,2004,Role-Playing,Avalon Interactive,66,33,5.5,23,Interplay,M
0,Koi to Senkyo to Chocolate Portable,PSP,PSP,2012,Adventure,Kadokawa Shoten,,,,,,
0,IndyCar Series,XB,XB,2003,Racing,Codemasters,71,8,7.8,5,Codemasters,E
0,Strawberry Shortcake: Strawberryland Games,DS,DS,2006,Action,Game Factory,,,,,Gorilla Systems,E
0,Ultra Bust-A-Move,XB,XB,2004,Puzzle,505 Games,74,12,,,Taito Corporation,E
0,Rally Fusion: Race of Champions,XB,XB,2002,Racing,Activision,69,16,,,Climax Group,E
0,Teenage Mutant Ninja Turtles: Mutants in Manhattan,PS3,PS3,2016,Action,Activision,,,3.4,14,PlatinumGames,T
0,Sherlock Holmes: Crimes & Punishments,X360,X360,2014,Adventure,Focus Home Interactive,,,,,,
0,Piglet's Big Game,GBA,GBA,2003,Platform,THQ,,,,,,
0,Killing Floor 2 ,PS4,PS4,2016,Shooter,Tripwire Interactive,76,39,8.0,57,Tripwire Interactive,M
0,Pinball Hall of Fame: The Gottlieb Collection,GC,GC,2005,Misc,Crave Entertainment,,,,,,
0,Ferrari F355 Challenge,PS2,PS2,2002,Racing,Sony Computer Entertainment,70,14,4.4,5,Sega AM2,E
0,Adventure Time: Finn & Jake Investigations,WiiU,WiiU,2015,Action,Little Orbit,,,,,,
0,Mr Bean's Wacky World of Wii,Wii,Wii,2009,Adventure,Blast! Entertainment Ltd,,,,,Blast! Entertainment Ltd,E
0,Tiny Toon Adventures: Toonenstein - Dare to Scare,PS,PS,1998,Action,Swing! Entertainment,,,,,,
0,My Horse & Me: Riding for Gold,Wii,Wii,2008,Sports,Atari,,,,,,
0,Mortal Kombat X,PC,PC,2015,Fighting,Warner Bros. Interactive Entertainment,76,10,5.1,475,High Voltage Software,M
0,TV Anime: Fairy Tale Gekitou! Madoushi Kessen,DS,DS,2010,Fighting,Hudson Soft,,,,,,
0,Cities in Motion,PC,PC,2011,Simulation,Paradox Interactive,70,20,7.7,105,Colossal Order,E
